section,item,is_composite,cal,fat,satfat,transfat,chol,sodium,carbs,fiber,sugars,protein,allergens,page
BREAKFAST ALL-STAR SPECIAL,2 Eggs - Scrambled,True,180,14,4,1,338,176,2,0,2,12,Egg; Milk; Soy; Tree Nuts; Wheat,1
BREAKFAST ALL-STAR SPECIAL,Classic Waffle,False,410,18,10,0,50,870,55,2,15,8,Egg; Milk; Soy; Tree Nuts; Wheat,1
BREAKFAST ALL-STAR SPECIAL,White Toast - 2 Slices,False,130,2,0,0,0,260,25,1,3,4,Milk; Soy; Wheat,1
BREAKFAST ALL-STAR SPECIAL,Wheat Toast - 2 Slices,False,120,2,0,0,0,250,26,4,2,6,Milk; Soy; Wheat,1
BREAKFAST ALL-STAR SPECIAL,Raisin Toast - 2 Slices,False,220,3,0,0,0,280,42,2,16,6,Milk; Soy; Wheat,1
BREAKFAST ALL-STAR SPECIAL,Grilled Biscuit,False,300,15,9,0,0,800,34,1,2,5,Egg; Milk; Soy; Wheat,1
BREAKFAST ALL-STAR SPECIAL,Texas Toast - 1 Slice,False,100,1,0,0,0,190,19,1,2,3,Milk; Soy; Wheat,1
BREAKFAST ALL-STAR SPECIAL,Grits,False,90,3,1,0,0,300,16,1,0,3,Egg; Milk; Soy; Wheat,1
BREAKFAST ALL-STAR SPECIAL,Regular Hashbrowns,False,190,7,3,0,0,240,29,3,0,3,Soy,1
BREAKFAST ALL-STAR SPECIAL,Sliced Tomatoes,False,10,0,0,0,0,0,2,0,2,0,,1
BREAKFAST ALL-STAR SPECIAL,Bacon - 3 Slices,False,135,12,5,0,30,375,0,0,0,9,,1
BREAKFAST ALL-STAR SPECIAL,Sausage - 2 patties,False,260,24,8,0,50,510,1,0,0,10,,1
BREAKFAST ALL-STAR SPECIAL,Chicken Sausage - 2 patties,False,180,13,4,0,75,700,0,0,0,14,,1
BREAKFAST ALL-STAR SPECIAL,City Ham - 1 Slice,False,100,3,1,0,40,850,7,0,6,14,,1
BREAKFAST ALL-STAR SPECIAL,Country Ham - 1 Slice,False,190,9,3,0,95,2110,1,0,1,25,,1
BREAKFAST HASHBROWN BOWLS,Sausage Egg & Cheese Hashbrown Bowl,True,920,61,22,1,413,1666,63,6,3,33,Egg; Milk; Soy,1
BREAKFAST HASHBROWN BOWLS,Large Hashbrowns,False,380,14,5,0,0,480,58,6,0,6,Soy,1
BREAKFAST HASHBROWN BOWLS,Sausage,False,260,24,8,0,50,510,1,0,0,10,,1
BREAKFAST HASHBROWN BOWLS,2 Eggs - Scrambled,False,180,14,4,1,338,176,2,0,2,12,Egg; Soy,1
BREAKFAST HASHBROWN BOWLS,American Cheese (2 Slices),False,100,9,5,0,25,500,2,0,1,5,Milk; Soy,1
BREAKFAST HASHBROWN BOWLS,Chicken Sausage Egg & Cheese Hashbrown Bowl,True,840,50,18,1,438,1856,62,6,3,37,Egg; Milk; Soy,1
BREAKFAST HASHBROWN BOWLS,Large Hashbrowns,False,380,14,5,0,0,480,58,6,0,6,Soy,1
BREAKFAST HASHBROWN BOWLS,Chicken Sausage,False,180,13,4,0,75,700,0,0,0,14,,1
BREAKFAST HASHBROWN BOWLS,2 Eggs - Scrambled,False,180,14,4,1,338,176,2,0,2,12,Egg; Soy,1
BREAKFAST HASHBROWN BOWLS,American Cheese (2 Slices),False,100,9,5,0,25,500,2,0,1,5,Milk; Soy,1
BREAKFAST HASHBROWN BOWLS,Bacon Egg & Cheese Hashbrown Bowl,True,795,49,19,1,393,1531,62,6,3,32,Egg; Milk; Soy,1
BREAKFAST HASHBROWN BOWLS,Large Hashbrowns,False,380,14,5,0,0,480,58,6,0,6,Soy,1
BREAKFAST HASHBROWN BOWLS,Bacon,False,135,12,5,0,30,375,0,0,0,9,,1
BREAKFAST HASHBROWN BOWLS,2 Eggs - Scrambled,False,180,14,4,1,338,176,2,0,2,12,Egg; Soy,1
