Store Code,Business Name,Address,City,State,Postal Code,Country,Latitude,Longitude,Phone Number,Website URL,Operated By,Online Order Link,Formatted Business Hours
100,Waffle House #100,2842 PANOLA RD,LITHONIA,GA,30058,US,33.704706,-84.169849,(770) 981-1914,https://locations.wafflehouse.com///lithonia-ga-100,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-100,Monday - Sunday| 24 hours
1000,Waffle House #1000,2850 E COLLEGE AVE,DECATUR,GA,30030,US,33.775215,-84.273744,(404) 294-8758,https://locations.wafflehouse.com///decatur-ga-1000,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-1000,Monday - Sunday| 24 hours
1001,Waffle House #1001,12923 SHELBYVILLE RD,LOUISVILLE,KY,40243,US,38.243594,-85.513206,(502) 244-1005,https://locations.wafflehouse.com///louisville-ky-1001,"FULLY OWNED SUBSIDIARY: MIDWEST WAFFLES, INC.",https://order.wafflehouse.com/menu/waffle-house-1001,Monday - Sunday| 24 hours
1002,Waffle House #1002,1161 RAMBLING OAKS DR,NORMAN,OK,73072,US,35.232444,-97.489044,(405) 364-4901,https://locations.wafflehouse.com///norman-ok-1002,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-1002,Monday - Sunday| 24 hours
1003,Waffle House #1003,1002 HWY 90,BAY SAINT LOUIS,MS,39520,US,30.313246,-89.356576,(228) 466-6688,https://locations.wafflehouse.com///baysaintlouis-ms-1003,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-1003,Monday - Sunday| 24 hours
1004,Waffle House #1004,1900 COMMERCE ST,CULLMAN,AL,35055,US,34.205996,-86.875404,(256) 737-6019,https://locations.wafflehouse.com///cullman-al-1004,"FULLY OWNED SUBSIDIARY: MID SOUTH WAFFLES, INC.",https://order.wafflehouse.com/menu/waffle-house-1004,Monday - Sunday| 24 hours
1005,Waffle House #1005,15228 US HIGHWAY 19 S,THOMASVILLE,GA,31757,US,30.857419,-83.946469,(229) 226-6796,https://locations.wafflehouse.com///thomasville-ga-1005,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-1005,Monday - Sunday| 24 hours
1006,Waffle House #1006,6840 EAST FRONT ST,KANSAS CITY,MO,64120,US,39.1301810758,-94.5017801864336,(816) 231-8565,https://locations.wafflehouse.com///kansascity-mo-1006,"FULLY OWNED SUBSIDIARY: OZARK WAFFLES, LLC.",https://order.wafflehouse.com/menu/waffle-house-1006,Monday - Sunday| 24 hours
1007,Waffle House #1007,3735 ROSWELL RD,ATLANTA,GA,30342,US,33.857012,-84.38203,(404) 816-2378,https://locations.wafflehouse.com///atlanta-ga-1007,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-1007,Monday - Sunday| 24 hours
1008,Waffle House #1008,8994 UNIVERSITY BLVD,NORTH CHARLESTON,SC,29406,US,32.976556,-80.06627,(843) 572-0070,https://locations.wafflehouse.com///northcharleston-sc-1008,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-1008,Monday - Sunday| 24 hours
1009,Waffle House #1009,2208  AIRPORT BLVD,WEST COLUMBIA,SC,29170,US,33.952638,-81.097426,(803) 791-0043,https://locations.wafflehouse.com///westcolumbia-sc-1009,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-1009,Monday - Sunday| 24 hours
1010,Waffle House #1010,7301 ABERCORN ST,SAVANNAH,GA,31406,US,32.00931,-81.11481,(912) 354-4333,https://locations.wafflehouse.com///savannah-ga-1010,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-1010,Monday - Sunday| 24 hours
1011,Waffle House #1011,580 WARRENTON ROAD,FREDERICKSBURG,VA,22406,US,38.3454572269224,-77.4987619081172,(540) 371-3925,https://locations.wafflehouse.com///fredericksburg-va-1011,"FULLY OWNED SUBSIDIARY: EAST COAST WAFFLES, INC.",https://order.wafflehouse.com/menu/waffle-house-1011,Monday - Sunday| 24 hours
1012,Waffle House #1012,2761 E. ANDREW,GREENEVILLE,TN,37745,US,36.18035,-82.77552,(423) 636-0222,https://locations.wafflehouse.com///greeneville-tn-1012,FRANCHISE : ROCKY TOP WAFFLES,https://order.wafflehouse.com/menu/waffle-house-1012,Monday - Sunday| 24 hours
1013,Waffle House #1013,183 HIGHWAY 43 SOUTH,TUSCUMBIA,AL,35674,US,34.712593,-87.66717,(256) 383-8840,https://locations.wafflehouse.com///tuscumbia-al-1013,"FULLY OWNED SUBSIDIARY: MID SOUTH WAFFLES, INC.",https://order.wafflehouse.com/menu/waffle-house-1013,Monday - Sunday| 24 hours
1014,Waffle House #1014,13625 JONES STREET,LAVONIA,GA,30553,US,34.444663,-83.11745,(706) 956-4560; (706) 356-9921,https://locations.wafflehouse.com///lavonia-ga-1014,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-1014,Monday - Sunday| 24 hours
1015,Waffle House #1015,6133 FAIRBURN RD,DOUGLASVILLE,GA,30134,US,33.75095,-84.7327,(770) 920-6668,https://locations.wafflehouse.com///douglasville-ga-1015,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-1015,Monday - Sunday| 24 hours
1016,Waffle House #1016,3163 HWY 1 S,PORT ALLEN,LA,70767,US,30.4239,-91.21686,(225) 749-2107,https://locations.wafflehouse.com///portallen-la-1016,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-1016,Monday - Sunday| 24 hours
1018,Waffle House #1018,125 INTERSTATE DR,NORMAN,OK,73069,US,35.219079,-97.48236,(405) 447-1937; (405) 321-9548,https://locations.wafflehouse.com///norman-ok-1018,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-1018,Monday - Sunday| 24 hours
102,Waffle House #102,3009 ALCOA HWY,ALCOA,TN,37701,US,35.82481,-83.97739,(865) 983-9984; (865) 993-9974,https://locations.wafflehouse.com///alcoa-tn-102,FRANCHISE : ROCKY TOP WAFFLES,https://order.wafflehouse.com/menu/waffle-house-102,Monday - Sunday| 24 hours
1020,Waffle House #1020,513 JONESTOWN RD,WINSTON SALEM,NC,27103,US,36.071341,-80.338442,(336) 760-4417,https://locations.wafflehouse.com///winstonsalem-nc-1020,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-1020,Monday - Sunday| 24 hours
1021,Waffle House #1021,371 LONG SHOALS RD,ARDEN,NC,28704,US,35.481243,-82.551838,(828) 687-9766; (828) 687-8810,https://locations.wafflehouse.com///arden-nc-1021,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-1021,Monday - Sunday| 24 hours
1022,Waffle House #1022,4595 WEST BROAD ST,COLUMBUS,OH,43228,US,39.952505116,-83.1235934444,(614) 878-6778; (614) 851-0548,https://locations.wafflehouse.com///columbus-oh-1022,"FULLY OWNED SUBSIDIARY: MIDWEST WAFFLES, INC.",https://order.wafflehouse.com/menu/waffle-house-1022,Monday - Sunday| 24 hours
1023,Waffle House #1023,2688 W NC 24 HWY,WARSAW,NC,28398,US,34.993599,-78.137512,(910) 293-2933; (910) 293-6809,https://locations.wafflehouse.com///warsaw-nc-1023,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-1023,Monday - Sunday| 24 hours
1025,Waffle House #1025,4701 LITTLE RD,ARLINGTON,TX,76017,US,32.670092,-97.202337,(817) 478-7398,https://locations.wafflehouse.com///arlington-tx-1025,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-1025,Monday - Sunday| 24 hours
1026,Waffle House #1026,4077 JIMMIE DYESS PY,AUGUSTA,GA,30909,US,33.478731,-82.129948,(706) 651-0071,https://locations.wafflehouse.com///augusta-ga-1026,"WAFFLE HOUSE, INC",https://order.wafflehouse.com/menu/waffle-house-1026,Monday - Sunday| 24 hours
